endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1683709681.338	294	294	265	14567	isSuccessful	200
1683709681.465	289	289	265	14567	isSuccessful	200
1683709681.567	726	726	265	14567	isSuccessful	200
1683709681.629	287	287	265	14567	isSuccessful	200
1683709681.730	262	262	265	14567	isSuccessful	200
1683709681.731	407	407	265	14567	isSuccessful	200
1683709681.737	413	413	265	14567	isSuccessful	200
1683709681.862	231	231	265	14567	isSuccessful	200
1683709681.945	375	375	265	14567	isSuccessful	200
1683709682.042	309	308	265	14567	isSuccessful	200
1683709682.162	298	298	265	14567	isSuccessful	200
1683709682.219	269	269	265	14567	isSuccessful	200
1683709682.221	357	357	265	14567	isSuccessful	200
1683709682.321	277	277	265	14567	isSuccessful	200
1683709682.607	282	282	265	14567	isSuccessful	200
1683709682.608	412	412	265	14567	isSuccessful	200
1683709682.653	443	443	265	14567	isSuccessful	200
1683709682.925	314	314	265	14567	isSuccessful	200
1683709682.929	319	319	265	14567	isSuccessful	200
1683709683.008	396	395	265	14567	isSuccessful	200
1683709683.051	440	440	265	14567	isSuccessful	200
1683709683.258	350	350	265	14567	isSuccessful	200
1683709683.355	345	345	265	14567	isSuccessful	200
1683709683.393	484	484	265	14567	isSuccessful	200
1683709683.394	484	484	265	14567	isSuccessful	200
1683709683.402	493	493	265	14567	isSuccessful	200
1683709683.627	366	366	265	14567	isSuccessful	200
1683709683.747	486	486	265	14567	isSuccessful	200
1683709683.754	493	493	265	14567	isSuccessful	200
1683709683.787	399	398	265	14567	isSuccessful	200
1683709683.958	347	347	265	14567	isSuccessful	200
1683709684.037	426	426	265	14567	isSuccessful	200
1683709684.037	426	426	265	14567	isSuccessful	200
1683709684.037	288	288	265	14567	isSuccessful	200
1683709684.153	404	404	265	14567	isSuccessful	200
1683709684.274	312	312	265	14567	isSuccessful	200
1683709684.325	363	363	265	14567	isSuccessful	200
1683709684.326	286	285	265	14567	isSuccessful	200
1683709684.379	415	415	265	14567	isSuccessful	200
1683709684.441	285	285	265	14567	isSuccessful	200
1683709684.552	276	276	265	14567	isSuccessful	200
1683709684.630	302	302	265	14567	isSuccessful	200
1683709684.661	385	385	265	14567	isSuccessful	200
1683709684.727	283	283	265	14567	isSuccessful	200
1683709684.871	316	316	265	14567	isSuccessful	200
1683709684.912	280	280	265	14567	isSuccessful	200
1683709684.921	366	366	265	14567	isSuccessful	200
1683709685.033	303	303	265	14567	isSuccessful	200
1683709685.262	388	388	265	14567	isSuccessful	200
1683709685.282	408	408	265	14567	isSuccessful	200
1683709685.320	285	285	265	14567	isSuccessful	200
1683709685.552	418	418	265	14567	isSuccessful	200
1683709685.560	289	289	265	14567	isSuccessful	200
1683709685.631	308	308	265	14567	isSuccessful	200
1683709685.648	388	388	265	14567	isSuccessful	200
1683709685.836	282	282	265	14567	isSuccessful	200
1683709685.877	383	383	265	14567	isSuccessful	200
1683709685.919	286	286	265	14567	isSuccessful	200
1683709686.153	315	315	265	14567	isSuccessful	200
1683709686.304	465	465	265	14567	isSuccessful	200
1683709686.305	467	467	265	14567	isSuccessful	200
1683709686.339	843	843	265	14567	isSuccessful	200
1683709686.367	446	446	265	14567	isSuccessful	200
1683709686.404	247	246	265	14567	isSuccessful	200
1683709686.560	253	253	265	14567	isSuccessful	200
1683709686.579	422	422	265	14567	isSuccessful	200
1683709686.591	284	284	265	14567	isSuccessful	200
1683709686.591	434	434	265	14567	isSuccessful	200
1683709686.668	262	262	265	14567	isSuccessful	200
1683709686.842	279	279	265	14567	isSuccessful	200
1683709686.869	275	275	265	14567	isSuccessful	200
1683709686.962	292	292	265	14567	isSuccessful	200
1683709687.234	391	391	265	14567	isSuccessful	200
1683709687.271	307	307	265	14567	isSuccessful	200
1683709687.277	434	434	265	14567	isSuccessful	200
1683709687.388	423	423	265	14567	isSuccessful	200
1683709687.404	840	840	265	14567	isSuccessful	200
1683709687.527	402	402	265	14567	isSuccessful	200
1683709687.557	319	319	265	14567	isSuccessful	200
1683709687.582	457	457	265	14567	isSuccessful	200
1683709687.581	306	306	265	14567	isSuccessful	200
1683709687.679	288	287	265	14567	isSuccessful	200
1683709687.788	396	396	265	14567	isSuccessful	200
1683709687.861	332	332	265	14567	isSuccessful	200
1683709687.870	286	286	265	14567	isSuccessful	200
1683709687.922	393	393	265	14567	isSuccessful	200
1683709687.955	274	274	265	14567	isSuccessful	200
1683709688.101	305	305	265	14567	isSuccessful	200
1683709688.156	293	293	265	14567	isSuccessful	200
1683709688.202	405	404	265	14567	isSuccessful	200
1683709688.227	302	302	265	14567	isSuccessful	200
1683709688.398	295	294	265	14567	isSuccessful	200
1683709688.487	329	329	265	14567	isSuccessful	200
1683709688.540	437	437	265	14567	isSuccessful	200
1683709688.540	310	310	265	14567	isSuccessful	200
1683709688.842	430	430	265	14567	isSuccessful	200
1683709688.842	436	435	265	14567	isSuccessful	200
1683709688.920	430	430	265	14567	isSuccessful	200
1683709688.966	476	476	265	14567	isSuccessful	200
1683709689.082	411	411	265	14567	isSuccessful	200
1683709689.108	437	436	265	14567	isSuccessful	200
1683709689.205	360	360	265	14567	isSuccessful	200
1683709689.311	342	342	265	14567	isSuccessful	200
1683709689.348	503	503	265	14567	isSuccessful	200
